"project","pair_id","expected_type","expected_scope","view","top_k","method_top_k","method_count","avg_exhaustive_similarity","avg_constrained_similarity","avg_similarity_delta","max_exhaustive_similarity","max_constrained_similarity","max_non_constructor_constrained_similarity","best_left_method","best_right_method","best_non_constructor_left_method","best_non_constructor_right_method","avg_candidate_reduction","total_exhaustive_candidate_pairs","total_constrained_candidate_pairs","runtime_ms","status","error","transformation_tag","difficulty","limitation_tag","notes"
"T1","java_t1_format_01","T1","FULL","DISCOVRE_NUMERIC","8","2","4","0.65","0.65","0.0","1.0","1.0","1.0","FormatBase.<init>()V","FormatBase.<init>()V","FormatBase.countPositive([I)I","FormatBase.countPositive([I)I","0.05833333333333332","56","53","2089","success","","CONTROL_FLOW_REORDER","L1","","Formatting and comments differ only"
"T1","java_t1_format_01","T1","FULL","RAW_HASH_BUCKET","8","2","4","0.65","0.65","0.0","1.0","1.0","1.0","FormatBase.<init>()V","FormatBase.<init>()V","FormatBase.countPositive([I)I","FormatBase.countPositive([I)I","0.14166666666666666","56","43","1486","success","","CONTROL_FLOW_REORDER","L1","","Formatting and comments differ only"
"T1","java_t1_format_01","T1","FULL","HYBRID_NUMERIC_HASH","8","2","4","0.65","0.65","0.0","1.0","1.0","1.0","FormatBase.<init>()V","FormatBase.<init>()V","FormatBase.countPositive([I)I","FormatBase.countPositive([I)I","0.14166666666666666","56","43","1447","success","","CONTROL_FLOW_REORDER","L1","","Formatting and comments differ only"
"T1","java_t1_comment_02","T1","FULL","DISCOVRE_NUMERIC","8","2","4","0.65","0.65","0.0","1.0","1.0","1.0","FormatBase.<init>()V","FormatBase.<init>()V","FormatBase.countPositive([I)I","FormatBase.countPositive([I)I","0.05833333333333332","56","53","1487","success","","CONTROL_FLOW_REORDER","L1","","Line and block comments added"
"T1","java_t1_comment_02","T1","FULL","RAW_HASH_BUCKET","8","2","4","0.65","0.65","0.0","1.0","1.0","1.0","FormatBase.<init>()V","FormatBase.<init>()V","FormatBase.countPositive([I)I","FormatBase.countPositive([I)I","0.14166666666666666","56","43","1558","success","","CONTROL_FLOW_REORDER","L1","","Line and block comments added"
"T1","java_t1_comment_02","T1","FULL","HYBRID_NUMERIC_HASH","8","2","4","0.65","0.65","0.0","1.0","1.0","1.0","FormatBase.<init>()V","FormatBase.<init>()V","FormatBase.countPositive([I)I","FormatBase.countPositive([I)I","0.14166666666666666","56","43","1445","success","","CONTROL_FLOW_REORDER","L1","","Line and block comments added"
"T1","java_t1_whitespace_03","T1","FULL","DISCOVRE_NUMERIC","8","2","4","0.65","0.65","0.0","1.0","1.0","1.0","FormatBase.<init>()V","FormatBase.<init>()V","FormatBase.countPositive([I)I","FormatBase.countPositive([I)I","0.05833333333333332","56","53","1471","success","","CONTROL_FLOW_REORDER","L1","","Whitespace layout differs"
"T1","java_t1_whitespace_03","T1","FULL","RAW_HASH_BUCKET","8","2","4","0.65","0.65","0.0","1.0","1.0","1.0","FormatBase.<init>()V","FormatBase.<init>()V","FormatBase.countPositive([I)I","FormatBase.countPositive([I)I","0.14166666666666666","56","43","1446","success","","CONTROL_FLOW_REORDER","L1","","Whitespace layout differs"
"T1","java_t1_whitespace_03","T1","FULL","HYBRID_NUMERIC_HASH","8","2","4","0.65","0.65","0.0","1.0","1.0","1.0","FormatBase.<init>()V","FormatBase.<init>()V","FormatBase.countPositive([I)I","FormatBase.countPositive([I)I","0.14166666666666666","56","43","2673","success","","CONTROL_FLOW_REORDER","L1","","Whitespace layout differs"
"T1","java_t1_block_comment_04","T1","FULL","DISCOVRE_NUMERIC","8","2","4","0.65","0.65","0.0","1.0","1.0","1.0","FormatBase.<init>()V","FormatBase.<init>()V","FormatBase.countPositive([I)I","FormatBase.countPositive([I)I","0.05833333333333332","56","53","1617","success","","CONTROL_FLOW_REORDER","L1","","Block comments inserted inside method"
"T1","java_t1_block_comment_04","T1","FULL","RAW_HASH_BUCKET","8","2","4","0.65","0.65","0.0","1.0","1.0","1.0","FormatBase.<init>()V","FormatBase.<init>()V","FormatBase.countPositive([I)I","FormatBase.countPositive([I)I","0.14166666666666666","56","43","1542","success","","CONTROL_FLOW_REORDER","L1","","Block comments inserted inside method"
"T1","java_t1_block_comment_04","T1","FULL","HYBRID_NUMERIC_HASH","8","2","4","0.65","0.65","0.0","1.0","1.0","1.0","FormatBase.<init>()V","FormatBase.<init>()V","FormatBase.countPositive([I)I","FormatBase.countPositive([I)I","0.14166666666666666","56","43","1634","success","","CONTROL_FLOW_REORDER","L1","","Block comments inserted inside method"
