threshold,tp,fn,fp,tn,precision,recall,f1
5,89,0,143,7,0.38362068965517243,1.0,0.5545171339563864
10,89,0,118,32,0.42995169082125606,1.0,0.6013513513513513
15,89,0,75,75,0.5426829268292683,1.0,0.7035573122529645
20,88,1,45,105,0.6616541353383458,0.9887640449438202,0.7927927927927927
25,87,2,21,129,0.8055555555555556,0.9775280898876404,0.883248730964467
30,80,9,10,140,0.8888888888888888,0.898876404494382,0.8938547486033519
35,77,12,8,142,0.9058823529411765,0.8651685393258427,0.8850574712643678
40,75,14,5,145,0.9375,0.8426966292134831,0.8875739644970413
45,66,23,4,146,0.9428571428571428,0.7415730337078652,0.8301886792452831
50,65,24,4,146,0.9420289855072463,0.7303370786516854,0.8227848101265822
55,53,36,4,146,0.9298245614035088,0.5955056179775281,0.726027397260274
60,47,42,4,146,0.9215686274509803,0.5280898876404494,0.6714285714285714
65,45,44,4,146,0.9183673469387755,0.5056179775280899,0.6521739130434783
70,42,47,4,146,0.9130434782608695,0.47191011235955055,0.6222222222222222
75,39,50,4,146,0.9069767441860465,0.43820224719101125,0.5909090909090909
80,28,61,4,146,0.875,0.3146067415730337,0.46280991735537197
85,22,67,4,146,0.8461538461538461,0.24719101123595505,0.38260869565217387
90,9,80,4,146,0.6923076923076923,0.10112359550561797,0.17647058823529413
95,0,89,4,146,0.0,0.0,0.0
